#;Tijdstip;Gebruiker;Bestandsnaam;Omvang (MB);Aantal records;Classificatie;Bestemming;Locatie (scenario);Status
1;1-10-2026 09:05;jan@dowr.nl;Agenda_teamoverleg_oktober.pdf;7,9;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
2;1-10-2026 09:08;jan@dowr.nl;Notulen_projectgroep_30_september.docx;21,5;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
3;1-10-2026 09:11;jan@dowr.nl;Bestellijst_kantoorartikelen.xlsx;13,3;126;Intern;185.199.108.153;Moskou, RU;Gekopieerd
4;1-10-2026 09:14;jan@dowr.nl;Communicatiekalender_Q4.xlsx;0,4;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
5;1-10-2026 09:17;jan@dowr.nl;Handleiding_zaakapplicatie_v3.pdf;19,7;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
6;1-10-2026 09:20;jan@dowr.nl;Planning_baliebezetting_week40.xlsx;19,6;126;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
7;1-10-2026 09:23;jan@dowr.nl;Leveranciersoverzicht_2026.xlsx;9,7;48;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
8;1-10-2026 09:26;jan@dowr.nl;Concept_nieuwsbrief_oktober.docx;24;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
9;1-10-2026 09:29;jan@dowr.nl;Inventaris_werkplekken.csv;2,4;240;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
10;1-10-2026 09:32;jan@dowr.nl;Overzicht_vergaderruimtes.xlsx;11,1;512;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
11;1-10-2026 09:35;jan@dowr.nl;Projectplan_digitale_dienstverlening.docx;20,4;0;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
12;1-10-2026 09:38;jan@dowr.nl;Facturen_september_batch_01.zip;11,2;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
13;1-10-2026 09:41;jan@dowr.nl;SLA_servicedesk_2026.pdf;21,4;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
14;1-10-2026 09:44;jan@dowr.nl;Procesbeschrijving_postregistratie.docx;10,4;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
15;1-10-2026 09:47;jan@dowr.nl;Opleidingsplanning_Q4.xlsx;22;24;Intern;185.199.108.153;Moskou, RU;Gekopieerd
16;1-10-2026 09:50;jan@dowr.nl;Actielijst_managementoverleg.xlsx;22,3;126;Intern;185.199.108.153;Moskou, RU;Gekopieerd
17;1-10-2026 09:53;jan@dowr.nl;Rapportage_webstatistieken_september.pdf;5,6;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
